,2025,2025,2025,2025
Unidades Vendidas (M),1081,1427,1208,0
Receita Faturada Plataforma (M),"R$ 232.319,00","R$ 319.412,00","R$ 313.262,00","R$ 0,00"
ROAS Geral,"29,08","30,34","32,33",#DIV/0!
Acos,"6,75%","6,07%","5,43%",#DIV/0!
Taxa de Conversão,"3,76%","3,58%","3,23%",#DIV/0!
Margem Operacional,30%,30%,30%,30%
ROI DIRETO,"37,38","51,32","50,05",#DIV/0!
ROIM,"4,98","5,80","5,99","0,00"
ROI,"3,98","4,80","4,99","-1,00"
Crescimento mês a mês %,#REF!,"137,49%","98,07%","0,00%"
,,,,
,,,,
Custo por Compra ,"R$ 7,57","R$ 7,53","R$ 8,14",#DIV/0!
Custo por Clique ,"R$ 0,65","R$ 0,63","R$ 0,57",#DIV/0!
Custo por Sessão,"R$ 0,28","R$ 0,26","R$ 0,26",#DIV/0!
,,,,
MARKETPLACE 4,,,,
Investimento,,,,
Investimento ideal dia,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Saldo mês,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Ticket Médio,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Impressões (M),,,,
CPM,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cliques (M),,,,
CTR,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Visitas (M),,,,
Compras Ads (M),,,,
Faturado Ads (M),,,,
ROAS Ads,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Compras (M),,,,
Unidades Vendidas (M),,,,
Receita Faturada Plataforma (M),,,,
ROAS Geral,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Acos,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Taxa de Conversão,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Margem Operacional,10%,10%,10%,10%
ROI DIRETO,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ROIM,"0,00","0,00","0,00","0,00"
ROI,"-1,00","-1,00","-1,00","-1,00"
Crescimento mês a mês %,#REF!,#REF!,#REF!,#REF!
,,,,
,,,,
Custo por Compra ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Clique ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Visita,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
